Transportation modes,Vehicle_type,Capacity (metric tons),Co2e (g/km),Avg speed (km/hr),Cost per km,Availability,Minimum Quantity Allowed (MQA)
Air,CARGO PLANE 2,100,591.7575413,507,10,10,75
Air,CARGO PLANE 3,100,591.7575413,507,10,10,75
Air,CARGO PLANE,100,591.7575413,507,10,10,75
Rail,GOODS RAIL WCAG 1,3000,80.26213836,94,3,2,2250
Rail,MIXED RAIL WCAM 2,8000,88.39821237,71,3,2,6000
Rail,MIXED RAIL WCM 6,7000,80.51261116,83,4,3,5250
Rail,GOODS RAIL WAG 12,9000,94.26302947,79,5,2,6750
Rail,GOODS RAIL WAG 10,10000,97.61231338,86,3,3,7500
Rail,GOODS RAIL WAG 9,5500,118.0368324,91,5,3,4125
Rail,MIXED RAIL WCAM 3,4500,106.2155593,109,4,3,3375
Rail,GOODS RAIL WAG 6C,7500,114.3767329,108,4,3,5625
Rail,GOODS RAIL WAG 6B,5000,71.67616403,61,4,3,3750
Rail,GOODS RAIL WAG 6A,4500,105.1971466,75,4,2,3375
Rail,GOODS RAIL WAG 5,3500,101.9944634,83,4,2,2625
Rail,MIXED RAIL WAM 4,5500,102.1283586,75,3,3,4125
Rail,GOODS RAIL WAG 7,6000,92.21668585,87,4,2,4500
Road,LIGHT 4 4 UTILITY,1,247.3721024,58,1.434035604,9,0.75
Road,ESTATE,2,141.7273847,42,2.051782692,4,1.5
Road,4WD PICK UP,3,189.7538671,41,2.135872265,11,2.25
Road,PICK  UP,5,170.4297385,60,1.433530613,3,3.75
Road,TIPPER  HGV ,7,154.2496606,75,1.628820441,8,5.25
Road,HGV,9,165.6064359,79,1.645465321,11,6.75
Road,HGV FLAT LORRY,8,202.365358,80,1.795185667,10,6
Road,HGV DROPSIDE LORRY,10,110.7798763,64,1.516689244,4,7.5
Road,BEAVER TAIL,12,167.6872586,52,1.239978842,4,9
Road,ELECTRIC,14,155.1904075,73,1.886613369,5,10.5
Road,HGV  3 5   7 5T,15,205.7380134,31,1.848058463,9,11.25
Road,VAN SIDE WINDOWS,16,258.292297,72,2.31396325,7,12
Road,4x4,18,169.4415728,66,1.692859319,6,13.5
Road,DROPSIDE LORRY,1,175.0119112,69,1.450023029,7,0.75
Road,PICK UP,5,171.1107998,62,1.278765621,9,3.75
Road,TIPPER,2,210.246964,30,2.124306857,11,1.5
Road,LARGE VAN,16,178.0427765,32,1.906294405,9,12
Road,MEDIUM VAN,20,187.3137355,41,1.895928397,7,15
Road,HGV LOADER,24,186.7018122,46,1.174879415,7,18
Road,PANEL VAN,7,154.9897018,72,1.867160637,7,5.25
Road,VAN,18,177.3544814,80,2.454612772,6,13.5
Road,SMALL VAN,26,162.3074573,62,1.685124444,11,19.5
Road,CAR DERIVED VAN,28,157.0573376,62,1.154860857,5,21
Road,CAR,9,114.2884877,89,2.411307413,7,6.75
Road,MOTOR CARAVAN,13,191.1849719,39,1.912761617,9,9.75
Road,HGV   18 TONNES,36,182.0305352,55,2.441958096,7,27
